Company,Date,Close,lag_1,lag_2,lag_3,lag_5,lag_10,diff_1,diff_2,diff_3,return_1,return_2,return_3,log_return_1,log_return_2,sma_3,sma_5,sma_10,ema_3,ema_5,ema_10,volatility_3,volatility_5,volatility_10,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,roll_min_3,roll_max_3,roll_min_5,roll_max_5,roll_min_10,roll_max_10,range_position_3,range_position_5,range_position_10,day_of_week,month,day,future_close,future_diff,target,target_class
PCAL,2020-04-23,128.6,,,,,,,,,,,,,,,,,128.6,128.6,128.6,,,,,,,,,,,,,,,,,,,3,4,23,128.6,0.0,SAME,1.0
PCAL,2020-04-24,128.6,128.6,,,,,0.0,,,0.0,,,0.0,,,,,128.6,128.6,128.6,,,,,,,,,,,,,,,,,,,4,4,24,128.6,0.0,SAME,1.0
PCAL,2020-04-27,128.6,128.6,128.6,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,128.6,,,128.6,128.6,128.6,,,,,,,,,,128.6,128.6,,,,,,,,0,4,27,128.6,0.0,SAME,1.0
PCAL,2020-04-28,128.6,128.6,128.6,128.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,,,128.6,128.6,128.6,0.0,,,0.0,0.0,,,,,128.6,128.6,,,,,,,,1,4,28,128.6,0.0,SAME,1.0
PCAL,2020-04-29,128.6,128.6,128.6,128.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,128.6,,128.6,128.6,128.6,0.0,,,0.0,0.0,,,,,128.6,128.6,128.6,128.6,,,,,,2,4,29,128.6,0.0,SAME,1.0
PCAL,2020-04-30,128.6,128.6,128.6,128.6,128.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,128.6,,128.6,128.6,128.6,0.0,0.0,,0.0,0.0,0.0,0.0,,,128.6,128.6,128.6,128.6,,,,,,3,4,30,128.6,0.0,SAME,1.0
PCAL,2020-05-01,128.6,128.6,128.6,128.6,128.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,128.6,,128.6,128.6,128.6,0.0,0.0,,0.0,0.0,0.0,0.0,,,128.6,128.6,128.6,128.6,,,,,,4,5,1,128.6,0.0,SAME,1.0
PCAL,2020-05-04,128.6,128.6,128.6,128.6,128.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,128.6,,128.6,128.6,128.6,0.0,0.0,,0.0,0.0,0.0,0.0,,,128.6,128.6,128.6,128.6,,,,,,0,5,4,126.0,-2.5999999999999943,DOWN,0.0
PCAL,2020-05-05,126.0,128.6,128.6,128.6,128.6,,-2.5999999999999943,-2.5999999999999943,-2.5999999999999943,-0.02021772939346811,-0.02021772939346811,-0.02021772939346811,-0.020424904852041004,-0.020424904852041004,127.73333333333333,128.07999999999998,,127.3,127.73333333333333,128.12727272727273,0.011672711507721822,0.009041643454898057,,-2.5999999999999943,-0.020217729393468074,-2.5999999999999943,-0.020217729393468074,,,126.0,128.6,126.0,128.6,,,0.0,0.0,,1,5,5,127.0,1.0,UP,2.0
PCAL,2020-05-06,127.0,126.0,128.6,128.6,128.6,,1.0,-1.5999999999999943,-1.5999999999999943,0.007936507936507908,-0.01244167962674958,-0.01244167962674958,0.007905179507113247,-0.012519725344927709,127.2,127.75999999999999,128.18,127.15,127.4888888888889,127.92231404958677,0.01451669050717353,0.010506891309502272,,-1.5999999999999943,-0.012441679626749568,-1.5999999999999943,-0.012441679626749568,,,126.0,128.6,126.0,128.6,126.0,128.6,0.38461538461538547,0.38461538461538547,0.38461538461538547,2,5,6,127.0,0.0,SAME,1.0
PCAL,2020-05-07,127.0,127.0,126.0,128.6,128.6,128.6,0.0,1.0,-1.5999999999999943,0.0,0.007936507936507908,-0.01244167962674958,0.0,0.007905179507113247,126.66666666666667,127.44000000000001,128.02,127.075,127.32592592592593,127.75462058602554,0.01451669050717353,0.010506891309502272,0.007123216345991991,-1.5999999999999943,-0.012441679626749568,-1.5999999999999943,-0.012441679626749568,-1.5999999999999943,-0.012441679626749568,126.0,127.0,126.0,128.6,126.0,128.6,1.0,0.38461538461538547,0.38461538461538547,3,5,7,127.0,0.0,SAME,1.0
PCAL,2020-05-08,127.0,127.0,127.0,126.0,128.6,128.6,0.0,0.0,1.0,0.0,0.0,0.007936507936507908,0.0,0.0,127.0,127.11999999999998,127.85999999999999,127.0375,127.21728395061729,127.6174168431118,0.004582144993568439,0.010506891309502272,0.007123216345991991,1.0,0.007936507936507936,-1.5999999999999943,-0.012441679626749568,-1.5999999999999943,-0.012441679626749568,127.0,127.0,126.0,128.6,126.0,128.6,,0.38461538461538547,0.38461538461538547,4,5,8,127.0,0.0,SAME,1.0
PCAL,2020-05-11,127.0,127.0,127.0,127.0,128.6,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,126.8,127.7,127.01875,127.1448559670782,127.50515923527328,0.0,0.010506891309502272,0.007123216345991991,0.0,0.0,-1.5999999999999943,-0.012441679626749568,-1.5999999999999943,-0.012441679626749568,127.0,127.0,126.0,127.0,126.0,128.6,,1.0,0.38461538461538547,0,5,11,127.0,0.0,SAME,1.0
PCAL,2020-05-12,127.0,127.0,127.0,127.0,126.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.54,127.009375,127.09657064471881,127.41331210158722,0.0,0.003549314249999655,0.007123216345991991,0.0,0.0,1.0,0.007936507936507936,-1.5999999999999943,-0.012441679626749568,127.0,127.0,127.0,127.0,126.0,128.6,,,0.38461538461538547,1,5,12,127.0,0.0,SAME,1.0
PCAL,2020-05-13,127.0,127.0,127.0,127.0,127.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.38,127.0046875,127.06438042981254,127.33816444675318,0.0,0.0,0.007123216345991991,0.0,0.0,0.0,0.0,-1.5999999999999943,-0.012441679626749568,127.0,127.0,127.0,127.0,126.0,128.6,,,0.38461538461538547,2,5,13,127.0,0.0,SAME,1.0
PCAL,2020-05-14,127.0,127.0,127.0,127.0,127.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.22,127.00234375,127.0429202865417,127.27668000188896,0.0,0.0,0.007123216345991991,0.0,0.0,0.0,0.0,-1.5999999999999943,-0.012441679626749568,127.0,127.0,127.0,127.0,126.0,128.6,,,0.38461538461538547,3,5,14,127.0,0.0,SAME,1.0
PCAL,2020-05-15,127.0,127.0,127.0,127.0,127.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.05999999999999,127.001171875,127.02861352436113,127.22637454700005,0.0,0.0,0.007123216345991991,0.0,0.0,0.0,0.0,-1.5999999999999943,-0.012441679626749568,127.0,127.0,127.0,127.0,126.0,128.6,,,0.38461538461538547,4,5,15,127.0,0.0,SAME,1.0
PCAL,2020-05-18,127.0,127.0,127.0,127.0,127.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,126.9,127.0005859375,127.01907568290743,127.18521553845459,0.0,0.0,0.007123216345991991,0.0,0.0,0.0,0.0,-1.5999999999999943,-0.012441679626749568,127.0,127.0,127.0,127.0,126.0,127.0,,,1.0,0,5,18,127.0,0.0,SAME,1.0
